time,ppg,score
13:00:00.015466,417,2
13:00:00.015466,414,2
13:00:00.031478,414,2
13:00:00.047489,412,2
13:00:00.047489,415,2
13:00:00.063501,414,2
13:00:00.063501,418,2
13:00:00.079511,420,2
13:00:00.095523,426,2
13:00:00.095523,430,2
13:00:00.111537,439,2
13:00:00.127552,446,2
13:00:00.127552,457,2
13:00:00.143297,466,2
13:00:00.143297,478,2
13:00:00.159329,487,2
13:00:00.175298,500,2
13:00:00.175298,508,2
13:00:00.192421,519,2
13:00:00.207910,525,2
13:00:00.209410,533,2
13:00:00.223450,537,2
13:00:00.225456,543,2
13:00:00.240469,545,2
13:00:00.255383,549,2
13:00:00.255956,549,2
13:00:00.270994,552,2
13:00:00.287298,551,2
13:00:00.287298,554,2
13:00:00.303346,552,2
13:00:00.303346,554,2
13:00:00.319414,552,2
13:00:00.335430,552,2
13:00:00.336432,549,2
13:00:00.351441,549,2
13:00:00.367333,545,2
13:00:00.367333,543,2
13:00:00.383355,539,2
13:00:00.383355,537,2
13:00:00.399375,533,2
13:00:00.415422,531,2
13:00:00.415422,527,2
13:00:00.431321,526,2
13:00:00.447518,522,2
13:00:00.447804,521,2
13:00:00.462819,517,2
13:00:00.463822,516,2
13:00:00.479439,511,2
13:00:00.495541,510,2
13:00:00.495836,505,2
13:00:00.511350,503,2
13:00:00.526865,498,2
13:00:00.527867,496,2
13:00:00.543162,491,2
13:00:00.559170,489,2
13:00:00.559170,484,2
13:00:00.575182,483,2
13:00:00.575182,479,2
13:00:00.591193,478,2
13:00:00.607713,475,2
13:00:00.608712,474,2
13:00:00.623313,469,2
13:00:00.638954,468,2
13:00:00.639959,463,2
13:00:00.655321,460,2
13:00:00.655321,454,2
13:00:00.671299,451,2
13:00:00.687424,445,2
13:00:00.688437,442,2
13:00:00.703454,436,2
13:00:00.718844,433,2
13:00:00.719823,428,2
13:00:00.735469,427,2
13:00:00.735469,422,2
13:00:00.751483,420,2
13:00:00.767450,416,2
13:00:00.767450,417,2
13:00:00.783109,415,2
13:00:00.799525,416,2
13:00:00.801033,414,2
13:00:00.815103,416,2
13:00:00.816074,415,2
13:00:00.831103,418,2
13:00:00.847459,418,2
13:00:00.847459,421,2
13:00:00.863466,421,2
13:00:00.879493,424,2
13:00:00.879493,423,2
13:00:00.895409,427,2
13:00:00.895409,427,2
13:00:00.911299,430,2
13:00:00.927384,431,2
13:00:00.928018,435,2
13:00:00.943055,437,2
13:00:00.959154,443,2
13:00:00.959154,447,2
13:00:00.975446,456,2
13:00:00.977455,463,2
13:00:00.991463,474,2
13:00:01.007743,483,2
14:00:00.002285,758,2
14:00:00.018287,758,2
14:00:00.019293,758,2
14:00:00.034810,758,2
14:00:00.035803,758,2
14:00:00.049814,758,2
14:00:00.066017,758,2
14:00:00.066017,758,2
14:00:00.082158,758,2
14:00:00.098172,758,2
14:00:00.098172,758,2
14:00:00.114160,758,2
14:00:00.114160,758,2
14:00:00.130326,758,2
14:00:00.145346,758,2
14:00:00.146716,755,2
14:00:00.161727,753,2
14:00:00.178231,740,2
14:00:00.178231,725,2
14:00:00.194253,694,2
14:00:00.209266,660,2
14:00:00.210267,615,2
14:00:00.226048,574,2
14:00:00.226048,527,2
14:00:00.242290,486,2
14:00:00.258059,442,2
14:00:00.261053,406,2
14:00:00.285082,368,2
14:00:00.290091,340,2
14:00:00.290091,311,2
14:00:00.307086,291,2
14:00:00.308086,269,2
14:00:00.322098,256,2
14:00:00.338112,241,2
14:00:00.338610,235,2
14:00:00.354127,227,2
14:00:00.374140,228,2
14:00:00.374140,225,2
14:00:00.386147,232,2
14:00:00.387149,234,2
14:00:00.401824,245,2
14:00:00.418103,251,2
14:00:00.418103,265,2
14:00:00.435109,273,2
14:00:00.450127,288,2
14:00:00.452131,297,2
14:00:00.466137,311,2
14:00:00.467141,320,2
14:00:00.481483,336,2
14:00:00.498139,345,2
14:00:00.498139,361,2
14:00:00.514153,372,2
14:00:00.530166,390,2
14:00:00.530670,402,2
14:00:00.546070,421,2
14:00:00.546070,434,2
14:00:00.562156,454,2
14:00:00.578097,468,2
14:00:00.579095,488,2
14:00:00.594133,502,2
14:00:00.610462,521,2
14:00:00.611433,532,2
14:00:00.626446,548,2
14:00:00.626446,556,2
14:00:00.641959,570,2
14:00:00.658108,575,2
14:00:00.658108,583,2
14:00:00.674132,585,2
14:00:00.690146,590,2
14:00:00.690146,588,2
14:00:00.706049,592,2
14:00:00.706049,590,2
14:00:00.722191,593,2
14:00:00.738719,591,2
14:00:00.739213,596,2
14:00:00.754733,595,2
14:00:00.769741,601,2
14:00:00.770744,601,2
14:00:00.791756,608,2
14:00:00.792757,610,2
14:00:00.805766,618,2
14:00:00.820777,621,2
14:00:00.821778,629,2
14:00:00.835790,631,2
14:00:00.849806,638,2
14:00:00.851807,638,2
14:00:00.866816,642,2
14:00:00.867822,639,2
14:00:00.886830,640,2
14:00:00.897837,633,2
14:00:00.897837,630,2
14:00:00.914245,619,2
14:00:00.930274,612,2
14:00:00.930274,597,2
14:00:00.946124,588,2
14:00:00.946124,570,2
14:00:00.962198,558,2
14:00:00.978086,538,2
14:00:00.979122,523,2
14:00:00.994104,503,2
15:00:00.006833,412,3
15:00:00.007834,414,3
15:00:00.022844,409,3
15:00:00.023844,410,3
15:00:00.038855,405,3
15:00:00.054891,406,3
15:00:00.054891,401,3
15:00:00.070418,401,3
15:00:00.086426,397,3
15:00:00.087428,398,3
15:00:00.102910,395,3
15:00:00.102910,397,3
15:00:00.118816,393,3
15:00:00.134685,394,3
15:00:00.135685,390,3
15:00:00.150695,390,3
15:00:00.167227,385,3
15:00:00.168730,386,3
15:00:00.182764,381,3
15:00:00.183758,381,3
15:00:00.199775,378,3
15:00:00.215781,380,3
15:00:00.215781,377,3
15:00:00.231803,380,3
15:00:00.248809,378,3
15:00:00.249815,381,3
15:00:00.263320,378,3
15:00:00.265326,380,3
15:00:00.283837,378,3
15:00:00.294846,382,3
15:00:00.297852,381,3
15:00:00.310809,384,3
15:00:00.326822,383,3
15:00:00.326822,388,3
15:00:00.342578,388,3
15:00:00.342578,393,3
15:00:00.358789,392,3
15:00:00.374728,396,3
15:00:00.374728,395,3
15:00:00.391038,400,3
15:00:00.407004,400,3
15:00:00.407004,405,3
15:00:00.422107,405,3
15:00:00.423113,409,3
15:00:00.438850,408,3
15:00:00.455010,412,3
15:00:00.455010,411,3
15:00:00.470947,415,3
15:00:00.487089,415,3
15:00:00.487089,420,3
15:00:00.503121,420,3
15:00:00.503121,425,3
15:00:00.518861,424,3
15:00:00.535288,427,3
15:00:00.535288,426,3
15:00:00.550707,428,3
15:00:00.567228,427,3
15:00:00.567729,430,3
15:00:00.582790,429,3
15:00:00.582790,433,3
15:00:00.598857,432,3
15:00:00.615514,435,3
15:00:00.617511,432,3
15:00:00.631518,434,3
15:00:00.647523,431,3
15:00:00.648531,433,3
15:00:00.663204,429,3
15:00:00.663711,431,3
15:00:00.679718,428,3
15:00:00.694731,431,3
15:00:00.702734,430,3
15:00:00.712746,434,3
15:00:00.729756,432,3
15:00:00.733757,434,3
15:00:00.742762,432,3
15:00:00.751779,435,3
15:00:00.762285,432,3
15:00:00.774797,435,3
15:00:00.774797,431,3
15:00:00.790805,433,3
15:00:00.806819,429,3
15:00:00.806819,430,3
15:00:00.822931,426,3
15:00:00.822931,427,3
15:00:00.838789,422,3
15:00:00.854678,423,3
15:00:00.855179,419,3
15:00:00.870964,420,3
15:00:00.887011,416,3
15:00:00.887359,417,3
15:00:00.902726,413,3
15:00:00.902726,412,3
15:00:00.918740,407,3
15:00:00.935015,407,3
15:00:00.935961,402,3
15:00:00.951328,402,3
15:00:00.966963,399,3
15:00:00.967467,400,3
15:00:00.982586,398,3
15:00:00.998582,400,3
16:00:00.010544,286,2
16:00:00.011538,271,2
16:00:00.026556,247,2
16:00:00.046567,226,2
16:00:00.048564,198,2
16:00:00.061576,175,2
16:00:00.079094,148,2
16:00:00.082097,127,2
16:00:00.090111,103,2
16:00:00.090111,87,2
16:00:00.110126,69,2
16:00:00.126132,59,2
16:00:00.127132,46,2
16:00:00.141143,42,2
16:00:00.153155,33,2
16:00:00.153155,33,2
16:00:00.171172,27,2
16:00:00.172173,29,2
16:00:00.185182,27,2
16:00:00.201734,32,2
16:00:00.201734,33,2
16:00:00.217485,43,2
16:00:00.233498,48,2
16:00:00.233498,62,2
16:00:00.249600,70,2
16:00:00.249600,85,2
16:00:00.265762,94,2
16:00:00.281531,110,2
16:00:00.281531,118,2
16:00:00.297544,134,2
16:00:00.313796,143,2
16:00:00.313796,160,2
16:00:00.329672,169,2
16:00:00.345255,184,2
16:00:00.346278,191,2
16:00:00.362294,204,2
16:00:00.362771,209,2
16:00:00.377315,221,2
16:00:00.394324,226,2
16:00:00.396329,239,2
16:00:00.409349,246,2
16:00:00.426382,259,2
16:00:00.427353,266,2
16:00:00.442817,278,2
16:00:00.444904,283,2
16:00:00.457999,294,2
16:00:00.473451,298,2
16:00:00.474454,306,2
16:00:00.489738,308,2
16:00:00.505782,316,2
16:00:00.505782,318,2
16:00:00.521511,325,2
16:00:00.522535,326,2
16:00:00.543553,334,2
16:00:00.557557,336,2
16:00:00.558052,344,2
16:00:00.570060,347,2
16:00:00.585155,357,2
16:00:00.586156,362,2
16:00:00.601167,374,2
16:00:00.602167,380,2
16:00:00.617177,393,2
16:00:00.637192,399,2
16:00:00.642201,411,2
16:00:00.649203,415,2
16:00:00.665736,426,2
16:00:00.665736,430,2
16:00:00.681736,441,2
16:00:00.681736,444,2
16:00:00.697432,451,2
16:00:00.713443,451,2
16:00:00.713443,456,2
16:00:00.729665,453,2
16:00:00.745772,457,2
16:00:00.745772,452,2
16:00:00.762060,453,2
16:00:00.763031,446,2
16:00:00.777601,444,2
16:00:00.793585,435,2
16:00:00.794602,432,2
16:00:00.809763,423,2
16:00:00.826624,418,2
16:00:00.827632,407,2
16:00:00.841640,402,2
16:00:00.843634,389,2
16:00:00.859151,382,2
16:00:00.874249,369,2
16:00:00.874249,361,2
16:00:00.889252,349,2
16:00:00.905732,344,2
16:00:00.905732,335,2
16:00:00.921899,336,2
16:00:00.921899,333,2
16:00:00.937540,340,2
16:00:00.953549,346,2
16:00:00.954549,364,2
16:00:00.969645,380,2
16:00:00.985840,406,2
16:00:00.986199,431,2
16:00:01.001333,464,2
17:05:28.696006,490,2
17:05:28.697001,542,2
17:05:28.699006,596,2
17:05:28.699006,638,2
17:05:28.699006,669,2
17:05:28.700003,693,2
17:05:28.700003,710,2
17:05:28.700003,724,2
17:05:28.700003,733,2
17:05:28.700003,741,2
17:05:28.700003,746,2
17:05:28.701004,751,2
17:05:28.701004,754,2
17:05:28.701004,757,2
17:05:28.701004,758,2
17:05:28.701004,760,2
17:05:28.701004,761,2
17:05:28.701004,760,2
17:05:28.702004,761,2
17:05:28.702004,760,2
17:05:28.702004,760,2
17:05:28.702004,757,2
17:05:28.702004,754,2
17:05:28.702004,749,2
17:05:28.702004,742,2
17:05:28.703005,735,2
17:05:28.703005,726,2
17:05:28.703005,717,2
17:05:28.703005,708,2
17:05:28.703005,698,2
17:05:28.704006,689,2
17:05:28.704006,678,2
17:05:28.704006,669,2
17:05:28.704006,659,2
17:05:28.704006,650,2
17:05:28.705006,641,2
17:05:28.705006,634,2
17:05:28.705006,625,2
17:05:28.705006,618,2
17:05:28.705006,610,2
17:05:28.705006,604,2
17:05:28.706007,596,2
17:05:28.706007,591,2
17:05:28.706007,584,2
17:05:28.706007,580,2
17:05:28.706007,574,2
17:05:28.706007,570,2
17:05:28.706007,564,2
17:05:28.707009,560,2
17:05:28.707009,555,2
17:05:28.707009,552,2
17:05:28.707009,547,2
17:05:28.707009,544,2
17:05:28.708009,539,2
17:05:28.716024,536,2
17:05:28.716524,532,2
17:05:28.716524,529,2
17:05:28.717024,525,2
17:05:28.717024,524,2
17:05:28.717024,520,2
17:05:28.717024,518,2
17:05:28.717524,516,2
17:05:28.717524,514,2
17:05:28.717524,511,2
17:05:28.718024,510,2
17:05:28.718024,507,2
17:05:28.718024,507,2
17:05:28.718525,505,2
17:05:28.718525,504,2
17:05:28.718525,503,2
17:05:28.719025,503,2
17:05:28.719025,501,2
17:05:28.719025,501,2
17:05:28.719526,499,2
18:00:00.008265,588,2
18:00:00.023786,592,2
18:00:00.024790,589,2
18:00:00.039806,590,2
18:00:00.056809,585,2
18:00:00.056809,585,2
18:00:00.071822,579,2
18:00:00.072820,578,2
18:00:00.087843,570,2
18:00:00.104366,569,2
18:00:00.105378,559,2
18:00:00.119774,556,2
18:00:00.136019,544,2
18:00:00.136019,539,2
18:00:00.152125,526,2
18:00:00.152125,520,2
18:00:00.168018,507,2
18:00:00.184054,499,2
18:00:00.184054,485,2
18:00:00.199563,474,2
18:00:00.216324,457,2
18:00:00.216799,445,2
18:00:00.231841,426,2
18:00:00.231841,415,2
18:00:00.247938,397,2
18:00:00.264106,386,2
18:00:00.264106,370,2
18:00:00.280063,360,2
18:00:00.296374,344,2
18:00:00.296858,334,2
18:00:00.312436,317,2
18:00:00.313936,305,2
18:00:00.342968,286,2
18:00:00.344970,272,2
18:00:00.345969,252,2
18:00:00.359978,238,2
18:00:00.375990,219,2
18:00:00.375990,206,2
18:00:00.392001,188,2
18:00:00.392001,178,2
18:00:00.411041,164,2
18:00:00.424057,157,2
18:00:00.426058,146,2
18:00:00.440031,143,2
18:00:00.456111,135,2
18:00:00.457132,134,2
18:00:00.471878,128,2
18:00:00.472907,128,2
18:00:00.487992,123,2
18:00:00.504453,126,2
18:00:00.505443,125,2
18:00:00.519847,133,2
18:00:00.536032,138,2
18:00:00.537036,152,2
18:00:00.552043,161,2
18:00:00.553066,179,2
18:00:00.567822,191,2
18:00:00.584282,210,2
18:00:00.584282,223,2
18:00:00.599600,240,2
18:00:00.616204,252,2
18:00:00.616681,270,2
18:00:00.632216,280,2
18:00:00.648132,294,2
18:00:00.648132,301,2
18:00:00.664091,313,2
18:00:00.664725,318,2
18:00:00.680071,327,2
18:00:00.696277,327,2
18:00:00.696678,332,2
18:00:00.712243,329,2
18:00:00.728259,331,2
18:00:00.729262,326,2
18:00:00.744288,328,2
18:00:00.744288,324,2
18:00:00.760089,327,2
18:00:00.775612,323,2
18:00:00.776585,326,2
18:00:00.791907,323,2
18:00:00.808952,326,2
18:00:00.809451,321,2
18:00:00.835555,322,2
18:00:00.836549,316,2
18:00:00.839551,316,2
18:00:00.861567,308,2
18:00:00.862568,305,2
18:00:00.877582,297,2
18:00:00.888591,294,2
18:00:00.890588,287,2
18:00:00.903613,288,2
18:00:00.904602,284,2
18:00:00.920635,289,2
18:00:00.935983,290,2
18:00:00.935983,297,2
18:00:00.951770,300,2
18:00:00.968145,309,2
18:00:00.968145,312,2
18:00:00.983648,319,2
18:00:00.984655,319,2
18:00:00.999512,325,2
19:00:00.010165,501,1
19:00:00.011168,499,1
19:00:00.026178,499,1
19:00:00.027177,496,1
19:00:00.042190,494,1
19:00:00.058200,490,1
19:00:00.059201,488,1
19:00:00.074820,483,1
19:00:00.090318,481,1
19:00:00.091320,477,1
19:00:00.106894,474,1
19:00:00.106894,470,1
19:00:00.122690,469,1
19:00:00.138861,465,1
19:00:00.139381,464,1
19:00:00.154207,459,1
19:00:00.170728,458,1
19:00:00.170728,454,1
19:00:00.186690,453,1
19:00:00.186690,448,1
19:00:00.202768,446,1
19:00:00.218945,439,1
19:00:00.219317,436,1
19:00:00.234634,428,1
19:00:00.250883,422,1
19:00:00.250883,412,1
19:00:00.266653,405,1
19:00:00.266653,393,1
19:00:00.282650,385,1
19:00:00.299285,374,1
19:00:00.300282,368,1
19:00:00.314810,358,1
19:00:00.330633,354,1
19:00:00.331633,348,1
19:00:00.346814,348,1
19:00:00.347434,345,1
19:00:00.362640,350,1
19:00:00.379047,353,1
19:00:00.379047,363,1
19:00:00.394632,371,1
19:00:00.410872,387,1
19:00:00.411246,401,1
19:00:00.426506,421,1
19:00:00.426506,438,1
19:00:00.442911,459,1
19:00:00.458926,475,1
19:00:00.458926,495,1
19:00:00.474911,510,1
19:00:00.490594,530,1
19:00:00.490594,544,1
19:00:00.506881,563,1
19:00:00.506881,576,1
19:00:00.522914,593,1
19:00:00.538245,604,1
19:00:00.539255,617,1
19:00:00.554696,623,1
19:00:00.570936,633,1
19:00:00.570936,637,1
19:00:00.586143,644,1
19:00:00.587143,645,1
19:00:00.602506,651,1
19:00:00.618890,651,1
19:00:00.619257,656,1
19:00:00.635224,657,1
19:00:00.681258,661,1
19:00:00.687261,660,1
19:00:00.687261,664,1
19:00:00.687261,664,1
19:00:00.687261,669,1
19:00:00.698268,669,1
19:00:00.699269,675,1
19:00:00.714796,677,1
19:00:00.731592,683,1
19:00:00.732584,683,1
19:00:00.746878,687,1
19:00:00.762574,684,1
19:00:00.763576,686,1
19:00:00.778645,681,1
19:00:00.778645,680,1
19:00:00.794979,674,1
19:00:00.810895,672,1
19:00:00.810895,665,1
19:00:00.826596,662,1
19:00:00.842937,655,1
19:00:00.842937,651,1
19:00:00.858585,642,1
19:00:00.858585,639,1
19:00:00.874921,631,1
19:00:00.890911,629,1
19:00:00.890911,621,1
19:00:00.906725,619,1
19:00:00.922749,612,1
19:00:00.922749,611,1
19:00:00.938921,604,1
19:00:00.939293,601,1
19:00:00.954576,592,1
19:00:00.970938,590,1
19:00:00.971304,581,1
19:00:00.986186,578,1
19:00:01.002222,569,1
20:00:00.179439,347,1
20:00:00.195529,449,1
20:00:00.196516,526,1
20:00:00.211939,584,1
20:00:00.212232,627,1
20:00:00.227709,660,1
20:00:00.243676,685,1
20:00:00.243676,702,1
20:00:00.259664,717,1
20:00:00.275536,727,1
20:00:00.276551,735,1
20:00:00.291881,741,1
20:00:00.292879,745,1
20:00:00.308424,748,1
20:00:00.323969,751,1
20:00:00.325968,753,1
20:00:00.339984,754,1
20:00:00.355971,755,1
20:00:00.356983,757,1
20:00:00.371669,757,1
20:00:00.372678,758,1
20:00:00.387687,757,1
20:00:00.403698,758,1
20:00:00.404700,758,1
20:00:00.419664,758,1
20:00:00.435391,758,1
20:00:00.435391,759,1
20:00:00.451406,759,1
20:00:00.472420,759,1
20:00:00.474423,759,1
20:00:00.488432,759,1
20:00:00.492435,758,1
20:00:00.500440,750,1
20:00:00.518989,710,1
20:00:00.518989,642,1
20:00:00.530940,539,1
20:00:00.546952,422,1
20:00:00.547952,321,1
20:00:00.691640,371,1
20:00:00.708170,467,1
20:00:00.709183,540,1
20:00:00.724053,594,1
20:00:00.725052,635,1
20:00:00.740063,666,1
20:00:00.755120,688,1
20:00:00.756083,706,1
20:00:00.771688,719,1
20:00:00.787707,729,1
20:00:00.788709,736,1
20:00:00.803719,742,1
20:00:00.803719,746,1
20:00:00.819728,750,1
20:00:00.835266,751,1
20:00:00.851277,754,1
20:00:00.851277,754,1
20:00:00.867288,756,1
20:00:00.867288,756,1
20:00:00.883710,757,1
20:00:00.883710,757,1
20:00:00.899628,758,1
20:00:00.915513,758,1
20:00:00.915822,759,1
20:00:00.932143,758,1
20:00:00.952154,759,1
20:00:00.952154,758,1
20:00:00.963162,759,1
20:00:00.964163,758,1
20:00:00.979174,759,1
20:00:00.998187,758,1
21:46:04.594520,723,1
21:46:04.595521,575,1
21:46:04.595521,452,1
21:46:04.595521,344,1
22:00:00.005254,494,1
22:00:00.006255,487,1
22:00:00.020772,485,1
22:00:00.036781,478,1
22:00:00.037782,476,1
22:00:00.052796,470,1
22:00:00.068806,469,1
22:00:00.068806,464,1
22:00:00.084970,464,1
22:00:00.090974,460,1
22:00:00.101488,461,1
22:00:00.117003,457,1
22:00:00.117003,458,1
22:00:00.133013,456,1
22:00:00.149676,458,1
22:00:00.150687,457,1
22:00:00.165424,459,1
22:00:00.165424,455,1
22:00:00.180998,455,1
22:00:00.197052,450,1
22:00:00.197556,448,1
22:00:00.213398,442,1
22:00:00.234407,441,1
22:00:00.235409,435,1
22:00:00.248822,433,1
22:00:00.248822,427,1
22:00:00.261824,425,1
22:00:00.277834,421,1
22:00:00.283835,421,1
22:00:00.295364,418,1
22:00:00.309241,419,1
22:00:00.309241,416,1
22:00:00.325196,417,1
22:00:00.325196,413,1
22:00:00.340997,413,1
22:00:00.357128,407,1
22:00:00.357128,405,1
22:00:00.373380,398,1
22:00:00.389286,397,1
22:00:00.389286,391,1
22:00:00.405217,390,1
22:00:00.405734,384,1
22:00:00.421013,383,1
22:00:00.436724,377,1
22:00:00.437728,376,1
22:00:00.453422,371,1
22:00:00.469308,371,1
22:00:00.469308,367,1
22:00:00.485374,365,1
22:00:00.486130,359,1
22:00:00.501688,357,1
22:00:00.517704,351,1
22:00:00.517704,350,1
22:00:00.532712,347,1
22:00:00.549198,348,1
22:00:00.549198,347,1
22:00:00.565399,351,1
22:00:00.566417,352,1
22:00:00.582064,359,1
22:00:00.597576,363,1
22:00:00.598076,373,1
22:00:00.613801,379,1
22:00:00.629364,391,1
22:00:00.630380,398,1
22:00:00.645431,410,1
22:00:00.645431,416,1
22:00:00.661443,426,1
22:00:00.677454,431,1
22:00:00.678456,440,1
22:00:00.692986,445,1
22:00:00.709401,455,1
22:00:00.709909,460,1
22:00:00.725808,471,1
22:00:00.726810,476,1
22:00:00.747829,486,1
22:00:00.756831,490,1
22:00:00.762839,499,1
22:00:00.774842,503,1
22:00:00.791855,512,1
22:00:00.791855,517,1
22:00:00.805402,527,1
22:00:00.805902,532,1
22:00:00.820919,542,1
22:00:00.837222,546,1
22:00:00.837222,554,1
22:00:00.853220,556,1
22:00:00.869419,560,1
22:00:00.870430,558,1
22:00:00.885401,559,1
22:00:00.886144,554,1
22:00:00.901567,554,1
22:00:00.916920,548,1
22:00:00.917918,546,1
22:00:00.933309,540,1
22:00:00.949364,538,1
22:00:00.950409,531,1
22:00:00.964682,528,1
22:00:00.981048,521,1
22:00:00.982055,518,1
22:00:00.997884,511,1
23:00:00.676323,369,2
23:00:00.690854,432,2
23:00:00.705862,492,2
23:00:00.712868,540,2
23:00:00.721872,583,2
23:00:00.725875,612,2
23:00:00.738891,635,2
23:00:00.754901,643,2
23:00:00.754901,645,2
23:00:00.769908,636,2
23:00:00.785923,624,2
23:00:00.786424,605,2
23:00:00.801957,587,2
23:00:00.801957,566,2
23:00:00.817973,549,2
23:00:00.834077,531,2
23:00:00.834077,518,2
23:00:00.850046,504,2
23:00:00.865798,496,2
23:00:00.865798,485,2
23:00:00.882324,478,2
23:00:00.898045,466,2
23:00:00.898268,456,2
23:00:00.914077,440,2
23:00:00.914077,426,2
23:00:00.930037,407,2
23:00:00.946161,390,2
23:00:00.946161,369,2
23:00:00.962173,353,2
23:00:00.978208,336,2
23:00:00.979217,324,2
23:00:00.994273,310,2
01:00:00.014663,527,2
01:00:00.015664,528,2
01:00:00.030674,528,2
01:00:00.046691,529,2
01:00:00.046691,527,2
01:00:00.062632,527,2
01:00:00.079731,524,2
01:00:00.080231,522,2
01:00:00.094658,520,2
01:00:00.094658,519,2
01:00:00.110642,517,2
01:00:00.126493,517,2
01:00:00.126493,514,2
01:00:00.142487,514,2
01:00:00.158695,512,2
01:00:00.158695,512,2
01:00:00.174733,511,2
01:00:00.174733,511,2
01:00:00.190751,509,2
01:00:00.210769,510,2
01:00:00.210769,510,2
01:00:00.223775,511,2
01:00:00.241785,510,2
01:00:00.242791,509,2
01:00:00.257797,507,2
01:00:00.257797,506,2
01:00:00.273314,504,2
01:00:00.286827,502,2
01:00:00.286827,500,2
01:00:00.302655,498,2
01:00:00.317980,496,2
01:00:00.318981,494,2
01:00:00.334004,492,2
01:00:00.335004,491,2
01:00:00.349868,489,2
01:00:00.366690,488,2
01:00:00.366690,486,2
01:00:00.382923,485,2
01:00:00.398718,483,2
01:00:00.399685,482,2
01:00:00.414734,481,2
01:00:00.415346,481,2
01:00:00.430392,479,2
01:00:00.446833,479,2
01:00:00.446833,478,2
01:00:00.462843,478,2
01:00:00.479068,477,2
01:00:00.479557,477,2
01:00:00.494905,475,2
01:00:00.510920,476,2
01:00:00.511918,475,2
01:00:00.527070,475,2
01:00:00.527070,474,2
01:00:00.542607,475,2
01:00:00.558852,474,2
01:00:00.558852,476,2
01:00:00.574617,476,2
01:00:00.590749,478,2
01:00:00.590749,478,2
01:00:00.606822,480,2
01:00:00.606822,481,2
01:00:00.622448,483,2
01:00:00.638459,484,2
01:00:00.639436,486,2
01:00:00.654511,487,2
01:00:00.670825,488,2
01:00:00.671503,488,2
01:00:00.686526,489,2
01:00:00.687523,490,2
01:00:00.703533,492,2
01:00:00.721545,492,2
01:00:00.721545,494,2
01:00:00.734554,494,2
01:00:00.751571,496,2
01:00:00.751571,496,2
01:00:00.766577,497,2
01:00:00.766577,497,2
01:00:00.783594,498,2
01:00:00.798225,497,2
01:00:00.799227,497,2
01:00:00.814237,496,2
01:00:00.830821,496,2
01:00:00.830821,495,2
01:00:00.846637,495,2
01:00:00.847660,494,2
01:00:00.862395,494,2
01:00:00.879212,493,2
01:00:00.879862,495,2
01:00:00.894780,495,2
01:00:00.910656,496,2
01:00:00.911759,496,2
01:00:00.927101,497,2
01:00:00.928062,497,2
01:00:00.942594,499,2
01:00:00.958802,499,2
01:00:00.958802,500,2
01:00:00.974812,499,2
01:00:00.990726,500,2
