time,ppg
13:00:28.687349,435
13:00:28.703344,432
13:00:28.704353,425
13:00:28.719361,422
13:00:28.735372,416
13:00:28.736374,412
13:00:28.751926,407
13:00:28.752394,404
13:00:28.767502,400
13:00:28.783522,398
13:00:28.784529,394
13:00:28.799532,394
13:00:28.815544,391
13:00:28.815544,391
13:00:28.831558,389
13:00:28.831558,390
13:00:28.847673,390
13:00:28.863869,393
13:00:28.864852,395
13:00:28.879011,401
13:00:28.896036,405
13:00:28.898036,414
13:00:28.911061,421
13:00:28.912045,432
13:00:28.927374,439
13:00:28.943402,449
13:00:28.943402,455
13:00:28.959424,462
13:00:28.975441,466
13:00:28.975914,472
13:00:28.990929,475
13:00:28.991904,479
13:00:29.007199,481
13:00:29.023204,486
13:00:29.024205,487
13:00:29.039216,491
13:00:29.055232,492
13:00:29.055732,494
13:00:29.072325,493
13:00:29.072325,495
13:00:29.087333,494
13:00:29.103344,495
13:00:29.103344,494
13:00:29.119355,495
13:00:29.135366,493
13:00:29.135366,494
13:00:29.151227,491
13:00:29.151227,492
13:00:29.167311,488
13:00:29.183394,487
13:00:29.184404,482
13:00:29.199416,480
13:00:29.215431,475
13:00:29.216426,473
13:00:29.231468,468
13:00:29.232467,465
13:00:29.247643,460
13:00:29.264136,458
13:00:29.265136,453
13:00:29.280156,450
13:00:29.295317,445
13:00:29.295941,442
13:00:29.310962,436
13:00:29.311977,433
13:00:29.327030,428
13:00:29.343622,425
13:00:29.343622,420
13:00:29.359938,418
13:00:29.375424,414
13:00:29.376428,412
13:00:29.391439,408
13:00:29.391439,406
13:00:29.407664,403
13:00:29.423728,402
13:00:29.423728,399
13:00:29.438765,399
13:00:29.455407,397
13:00:29.456114,397
13:00:29.471456,396
13:00:29.472440,396
13:00:29.487400,395
13:00:29.503419,396
13:00:29.504421,395
13:00:29.519430,396
13:00:29.535441,396
13:00:29.535441,398
13:00:29.551453,398
13:00:29.551453,400
13:00:29.567469,403
13:00:29.582984,408
13:00:29.583985,413
13:00:29.598995,422
13:00:29.615007,430
13:00:29.616008,442
13:00:29.631018,454
13:00:29.631018,467
13:00:29.648036,480
13:00:29.663317,494
13:00:29.663823,505
13:00:29.678843,518
13:00:29.695321,528
13:00:29.695321,538
13:00:29.712223,544
13:00:29.727211,551
13:00:29.728222,553
13:00:29.743260,557
13:00:29.744231,559
13:00:29.759810,560
13:00:29.775408,560
13:00:29.776416,561
13:00:29.791431,559
13:00:29.807452,559
13:00:29.808445,556
13:00:29.823463,555
13:00:29.824456,552
13:00:29.839521,550
13:00:29.855614,545
13:00:29.856594,543
13:00:29.871078,539
13:00:29.887477,537
13:00:29.887477,533
13:00:29.903412,531
13:00:29.904409,528
13:00:29.919398,527
13:00:29.935486,525
13:00:29.935486,524
13:00:29.951336,521
13:00:29.967828,520
13:00:29.968590,517
13:00:29.983107,515
13:00:29.984079,512
13:00:29.999088,509
13:00:30.015100,505
13:00:30.016100,502
13:00:30.031115,497
13:00:30.048130,494
13:00:30.048130,489
13:00:30.063638,485
13:00:30.064638,480
13:00:30.079159,476
13:00:30.095168,471
13:00:30.096178,468
13:00:30.111176,463
13:00:30.127180,460
13:00:30.128189,456
13:00:30.143309,453
13:00:30.144309,450
13:00:30.159323,447
13:00:30.175338,444
13:00:30.175338,441
13:00:30.191261,438
13:00:30.207508,436
13:00:30.208473,433
13:00:30.223482,432
13:00:30.223482,430
13:00:30.239493,430
13:00:30.255403,429
13:00:30.256928,429
13:00:30.271435,431
13:00:30.287001,435
13:00:30.288003,440
13:00:30.303479,448
13:00:30.304468,457
13:00:30.319386,468
13:00:30.334968,479
13:00:30.335970,491
13:00:30.351347,503
13:00:30.367384,515
13:00:30.367877,526
13:00:30.383470,536
13:00:30.383974,544
13:00:30.398991,552
13:00:30.415478,558
13:00:30.415991,563
13:00:30.431332,566
13:00:30.447306,569
13:00:30.448314,571
13:00:30.463858,572
13:00:30.464840,572
13:00:30.479870,572
13:00:30.495345,571
13:00:30.496351,570
13:00:30.511365,568
13:00:30.528373,566
13:00:30.529383,563
13:00:30.544391,561
13:00:30.545390,558
13:00:30.559401,555
13:00:30.574916,552
13:00:30.575917,549
13:00:30.590927,547
13:00:30.606939,546
13:00:30.606939,545
13:00:30.622950,543
13:00:30.622950,543
13:00:30.638961,542
13:00:30.655319,542
13:00:30.655319,541
13:00:30.671305,539
13:00:30.687323,537
13:00:30.687323,534
13:00:30.703351,530
13:00:30.703351,526
13:00:30.719362,521
13:00:30.735387,516
13:00:30.735387,509
13:00:30.751401,503
13:00:30.767381,497
13:00:30.767381,491
13:00:30.782645,484
13:00:30.783649,478
13:00:30.799441,471
13:00:30.815458,465
13:00:30.816461,459
13:00:30.831471,454
13:00:30.847086,449
13:00:30.848089,445
13:00:30.863360,440
13:00:30.879004,436
13:00:30.879983,433
13:00:30.895450,430
13:00:30.895450,427
13:00:30.911473,426
13:00:30.927343,423
13:00:30.928355,422
13:00:30.943362,421
13:00:30.959687,422
13:00:30.960190,422
13:00:30.975383,426
13:00:30.976157,430
13:00:30.991177,437
13:00:31.007168,445
13:00:31.007168,456
13:00:31.022883,466
13:00:31.038869,478
13:00:31.039870,489
13:00:31.054880,502
13:00:31.055883,513
13:00:31.071399,525
13:00:31.086913,534
13:00:31.087913,544
13:00:31.102927,551
13:00:31.118935,558
13:00:31.119938,562
13:00:31.135342,567
13:00:31.135342,569
13:00:31.150982,572
13:00:31.167320,572
13:00:31.168829,572
13:00:31.182813,569
13:00:31.199827,567
13:00:31.199827,563
13:00:31.215324,559
13:00:31.216141,553
13:00:31.231189,549
13:00:31.247175,543
13:00:31.248170,539
13:00:31.263313,534
13:00:31.279321,531
13:00:31.279321,527
13:00:31.295334,524
13:00:31.296337,521
13:00:31.311471,519
13:00:31.327495,516
13:00:31.327495,515
13:00:31.343386,512
13:00:31.360436,510
13:00:31.361445,508
13:00:31.375952,506
13:00:31.376954,503
13:00:31.391002,501
13:00:31.406943,497
13:00:31.407931,494
13:00:31.422896,490
13:00:31.439502,487
13:00:31.439502,482
13:00:31.455387,480
13:00:31.456394,474
13:00:31.471411,471
13:00:31.487387,466
13:00:31.487901,463
13:00:31.502856,458
13:00:31.518871,455
13:00:31.519872,449
13:00:31.534883,446
13:00:31.535883,441
13:00:31.550896,438
13:00:31.567414,434
13:00:31.567414,432
13:00:31.582928,427
13:00:31.598939,426
13:00:31.599941,424
13:00:31.614951,425
13:00:31.614951,423
13:00:31.631223,423
13:00:31.647368,421
13:00:31.647368,422
13:00:31.663403,421
13:00:31.679442,422
13:00:31.679442,422
13:00:31.695380,425
13:00:31.696391,428
13:00:31.711411,434
13:00:31.728412,439
13:00:31.728412,449
13:00:31.743424,456
13:00:31.759700,466
13:00:31.761706,474
13:00:31.776221,484
13:00:31.777221,491
13:00:31.791229,500
13:00:31.807733,505
13:00:31.807733,512
13:00:31.822833,515
13:00:31.839815,520
13:00:31.839815,521
13:00:31.855833,525
13:00:31.856835,525
13:00:31.871823,526
13:00:31.887357,525
13:00:31.888328,525
13:00:31.903342,522
13:00:31.919347,520
13:00:31.920350,516
13:00:31.935409,513
13:00:31.935839,507
13:00:31.950857,504
13:00:31.967533,498
13:00:31.968101,495
13:00:31.983511,490
13:00:31.999546,487
13:00:32.000554,481
13:00:32.015564,479
13:00:32.030576,474
13:00:32.031575,472
13:00:32.047585,467
13:00:32.047585,465
13:00:32.063600,461
13:00:32.079614,460
13:00:32.079614,456
13:00:32.095626,455
13:00:32.111644,451
13:00:32.112638,451
13:00:32.127649,448
13:00:32.127649,447
13:00:32.144662,443
13:00:32.159617,442
13:00:32.159617,437
13:00:32.175622,436
13:00:32.190667,431
13:00:32.191648,428
13:00:32.207409,423
13:00:32.207409,420
13:00:32.223448,415
13:00:32.239384,412
13:00:32.240138,407
13:00:32.255162,404
13:00:32.271693,399
13:00:32.272694,397
13:00:32.287736,393
13:00:32.287736,391
13:00:32.303376,387
13:00:32.319393,387
13:00:32.320395,384
13:00:32.335405,385
13:00:32.351175,383
13:00:32.352121,384
13:00:32.367518,383
13:00:32.368026,385
13:00:32.383559,386
13:00:32.399567,389
13:00:32.399567,390
13:00:32.415512,393
13:00:32.431527,394
13:00:32.431527,398
13:00:32.447499,398
13:00:32.447499,401
13:00:32.463478,401
13:00:32.479917,404
13:00:32.480935,403
13:00:32.494942,406
13:00:32.510949,406
13:00:32.512950,409
13:00:32.527961,411
13:00:32.528964,415
13:00:32.542975,419
13:00:32.559487,427
13:00:32.560993,434
13:00:32.575507,446
13:00:32.591516,456
13:00:32.592515,469
13:00:32.607524,480
13:00:32.607524,493
13:00:32.623536,502
13:00:32.639547,513
13:00:32.639547,520
13:00:32.655340,528
13:00:32.671139,532
13:00:32.671642,537
13:00:32.687343,538
13:00:32.687786,540
13:00:32.703318,538
13:00:32.718836,537
13:00:32.719843,532
13:00:32.735854,530
13:00:32.750864,524
13:00:32.751864,521
13:00:32.768270,514
13:00:32.768760,509
13:00:32.783054,501
13:00:32.799036,496
13:00:32.800014,489
13:00:32.815017,484
13:00:32.831087,477
13:00:32.832030,473
13:00:32.847476,466
13:00:32.847476,463
13:00:32.863498,457
13:00:32.879380,453
13:00:32.879380,448
13:00:32.896385,445
13:00:32.911395,440
13:00:32.912402,438
13:00:32.928414,432
13:00:32.929409,430
13:00:32.944419,425
13:00:32.959680,422
13:00:32.960691,417
13:00:32.975715,415
13:00:32.991727,411
13:00:32.992725,409
13:00:33.007083,405
13:00:33.009088,402
13:00:33.023091,398
13:00:33.039102,396
13:00:33.039102,391
13:00:33.055115,390
13:00:33.071650,385
13:00:33.071650,384
13:00:33.086666,381
13:00:33.102678,381
13:00:33.103679,378
13:00:33.118689,378
13:00:33.119690,375
13:00:33.135315,375
13:00:33.150762,373
13:00:33.151762,373
13:00:33.167342,371
13:00:33.183325,371
13:00:33.183325,368
13:00:33.199324,367
13:00:33.200330,364
13:00:33.215345,363
13:00:33.231377,360
13:00:33.232358,359
13:00:33.247226,356
13:00:33.263469,356
13:00:33.263979,353
13:00:33.278993,353
13:00:33.279995,351
13:00:33.295383,351
13:00:33.311778,351
13:00:33.311778,355
13:00:33.327385,357
13:00:33.343402,364
13:00:33.343402,370
13:00:33.359680,381
13:00:33.360683,389
13:00:33.375360,401
13:00:33.391109,411
13:00:33.392105,423
13:00:33.407959,433
13:00:33.423384,444
13:00:33.423384,453
13:00:33.439332,463
13:00:33.440373,469
13:00:33.455351,477
13:00:33.471254,482
13:00:33.471755,488
13:00:33.487569,491
13:00:33.503385,495
13:00:33.503385,496
13:00:33.519396,499
13:00:33.520397,499
13:00:33.534727,500
13:00:33.551055,498
13:00:33.551055,498
13:00:33.567405,495
13:00:33.583123,494
13:00:33.583123,490
13:00:33.599133,488
13:00:33.599133,483
13:00:33.615146,481
13:00:33.631158,475
13:00:33.631158,473
13:00:33.647406,467
13:00:33.663322,464
13:00:33.663322,459
13:00:33.679344,455
13:00:33.680351,448
13:00:33.695360,444
13:00:33.711372,437
13:00:33.712384,434
13:00:33.727949,427
13:00:33.742946,422
13:00:33.744955,416
13:00:33.759967,411
13:00:33.761011,405
13:00:33.775495,401
13:00:33.791227,394
13:00:33.793225,390
13:00:33.807570,383
13:00:33.823577,378
13:00:33.824576,371
13:00:33.839389,366
13:00:33.840398,359
13:00:33.855482,355
13:00:33.871592,348
13:00:33.872072,344
13:00:33.887498,338
13:00:33.903703,335
13:00:33.903932,329
13:00:33.919525,325
13:00:33.920535,319
13:00:33.935544,315
13:00:33.951555,309
13:00:33.952576,305
13:00:33.967595,299
13:00:33.983232,294
13:00:33.984232,287
13:00:33.999240,283
13:00:33.999240,277
13:00:34.015251,273
13:00:34.031263,267
13:00:34.031263,264
13:00:34.047275,258
13:00:34.063809,255
13:00:34.065809,251
13:00:34.078831,249
13:00:34.079832,246
13:00:34.094842,245
13:00:34.110854,243
13:00:34.111854,242
13:00:34.126865,240
13:00:34.143344,241
13:00:34.143344,240
13:00:34.158932,241
13:00:34.175469,242
13:00:34.175469,246
13:00:34.191009,250
13:00:34.192002,256
13:00:34.207379,262
13:00:34.223844,269
13:00:34.225818,275
13:00:34.239815,282
13:00:34.254845,288
13:00:34.255828,294
13:00:34.271339,297
13:00:34.271800,301
13:00:34.287381,303
13:00:34.303354,306
13:00:34.303354,306
13:00:34.319497,308
13:00:34.335679,307
13:00:34.335679,308
13:00:34.351696,307
13:00:34.351696,307
13:00:34.367539,306
13:00:34.383436,306
13:00:34.383436,305
13:00:34.399877,304
13:00:34.415915,303
13:00:34.415915,302
13:00:34.431158,300
13:00:34.431158,300
13:00:34.447471,298
13:00:34.463420,297
13:00:34.463916,296
13:00:34.479436,296
13:00:34.495473,296
13:00:34.495944,297
13:00:34.511288,297
13:00:34.511288,299
13:00:34.526762,300
13:00:34.542773,302
13:00:34.543773,304
13:00:34.559796,308
13:00:34.575804,310
13:00:34.575804,314
13:00:34.591181,316
13:00:34.591181,319
13:00:34.607194,323
13:00:34.623255,327
13:00:34.623255,332
13:00:34.639265,337
13:00:34.655323,342
13:00:34.655323,349
13:00:34.671285,356
13:00:34.671800,363
13:00:34.687371,371
13:00:34.703008,380
13:00:34.704961,388
13:00:34.719962,396